"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.316933542E0,5.891689575E-1,2.850853553E0,-8.557467350E0,9.039067070E0
1.326871542E0,7.536808084E-1,2.739033740E0,-9.004999788E0,9.442476464E0
1.336808542E0,8.396376559E-1,2.635460547E0,-9.380748298E0,9.780034883E0
1.346745542E0,8.952557865E-1,2.576000796E0,-9.567612446E0,9.948691921E0
1.356683542E0,1.108922256E0,2.495114215E0,-9.427840018E0,9.815267237E0
1.366620542E0,1.133846159E0,2.195314459E0,-9.048587272E0,9.379869099E0
1.376557542E0,9.519663231E-1,1.934285835E0,-8.171312551E0,8.450920091E0
1.386495542E0,9.502481188E-1,1.532526864E0,-7.061057861E0,7.287670972E0
1.396432542E0,1.247204667E0,1.130570475E0,-6.243065135E0,6.466032119E0
1.406369542E0,1.789708604E0,8.844124174E-1,-5.910829850E0,6.238842179E0
1.416307542E0,1.876707718E0,6.117482000E-1,-5.244508052E0,5.603671334E0
1.426244542E0,1.939254507E0,4.433095783E-1,-4.448696154E0,4.873205198E0
1.436181542E0,1.963893942E0,2.189313023E-1,-3.209731384E0,3.769242084E0
1.446119542E0,1.539477010E0,-2.463219993E-1,-1.243408654E0,1.994173782E0
1.456056542E0,3.232720882E-2,-4.264956173E-1,7.952341926E-1,9.029623365E-1
1.465993542E0,-2.241792514E0,-2.509358179E-2,4.061000029E0,4.638748172E0
1.475931542E0,-3.722283105E0,5.908621284E-1,9.645064080E0,1.035527743E1
1.485868542E0,-3.504103901E0,8.728448707E-1,1.472549458E1,1.516182024E1
1.495805542E0,-3.213952781E0,-2.509286916E-1,1.699714956E1,1.730016043E1
1.505743542E0,-1.376692134E0,-6.708529522E-1,1.867068817E1,1.873339055E1
1.515680542E0,-1.743853131E-1,-6.010860215E-1,1.879696697E1,1.880738371E1
1.525617542E0,-3.410938168E-1,-9.061119463E-1,1.721689494E1,1.724409624E1
1.535554542E0,-3.804119566E-1,-8.452920596E-1,1.471066020E1,1.473983566E1
1.545492542E0,3.310605794E-1,4.775008795E-1,1.227700811E1,1.229075003E1
1.555429542E0,1.186983900E0,2.056176015E0,9.904013872E0,1.018461003E1
1.565366542E0,2.010648133E0,2.470820496E0,6.908826186E0,7.607860350E0
1.575304542E0,1.952689362E0,7.389636590E-1,4.416421278E0,4.885062941E0
1.585241542E0,1.516415738E0,-2.189649092E0,4.852552230E0,5.535462309E0
1.595178542E0,2.771234064E0,-3.170122930E0,5.500987396E0,6.927501711E0
1.605116542E0,4.143751579E0,-2.906433677E0,3.263443907E0,6.022300225E0
1.615053542E0,4.882960967E0,-2.614111486E0,-3.617374116E-1,5.550472108E0
1.624990542E0,4.447860003E0,-2.340587362E0,-2.949686993E0,5.827732077E0
1.634928542E0,2.833445515E0,-1.679563433E0,-4.149873614E0,5.298188164E0
1.644865542E0,2.336228701E-1,-2.533867880E-1,-4.478104725E0,4.491347954E0
1.654802542E0,-2.139046410E0,1.708955486E0,-5.256324690E0,5.926634597E0
1.664740542E0,-4.023236664E0,3.304050773E0,-5.788145326E0,7.784973415E0
1.674677542E0,-4.931508937E0,4.282242005E0,-5.459458131E0,8.512523719E0
1.684614542E0,-4.751864930E0,4.548398490E0,-5.114680569E0,8.332352997E0
1.694552542E0,-3.890850146E0,4.036822377E0,-5.372249249E0,7.765031343E0
1.704489542E0,-2.631141209E0,3.461290003E0,-6.124939685E0,7.511212864E0
1.714426542E0,-1.424239353E0,3.048185679E0,-6.812424311E0,7.597961481E0
1.724364542E0,-4.537990446E-1,2.640580954E0,-7.060936239E0,7.552179945E0
1.734301542E0,2.679645909E-1,2.171556344E0,-6.954291796E0,7.290379713E0
1.744238542E0,6.631295112E-1,1.778592755E0,-6.612477018E0,6.879533796E0
1.754176542E0,1.098505003E0,1.225762488E0,-5.806094524E0,6.034893581E0
1.764113542E0,1.757379056E0,6.690411924E-1,-5.163374426E0,5.495128091E0
1.774050542E0,2.344253128E0,2.158375405E-1,-5.202501655E0,5.710353057E0
1.783988542E0,2.717643748E0,5.054077394E-2,-5.634045466E0,6.255446444E0
1.793925542E0,2.873997125E0,2.305090085E-1,-6.209826638E0,6.846527642E0
1.803862542E0,2.785843040E0,5.847720706E-1,-6.850058160E0,7.417963104E0
1.813799542E0,2.373145390E0,8.558285961E-1,-7.396175823E0,7.814581143E0
1.823737542E0,1.865484572E0,8.579764245E-1,-7.892785696E0,8.155502576E0
1.833674542E0,1.423843789E0,8.163889803E-1,-8.432141638E0,8.590392000E0
1.843611542E0,8.441514140E-1,6.334186390E-1,-8.905669627E0,8.967985409E0
1.853549542E0,-8.524560682E-2,-6.729502936E-2,-9.065788611E0,9.066439134E0
1.863486542E0,-5.194271699E-2,-1.347953143E-2,-8.562094252E0,8.562262419E0
1.873423542E0,-7.205477802E-1,-6.181663232E-1,-7.050291383E0,7.113924886E0
1.883361542E0,-3.294917130E0,-1.735645979E0,-5.015764391E0,6.247146411E0
1.893298375E0,-7.935600763E0,-1.720860563E0,-2.454745916E0,8.482976957E0
1.903235375E0,-1.219439631E1,2.874586232E-1,1.599797033E0,1.230224713E1
