"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.444229833E0,6.276390318E-2,9.233206674E-1,-4.813784605E-1,1.043161342E0
1.454167833E0,6.905130453E-2,9.960828343E-1,-6.138278353E-1,1.172063866E0
1.464105833E0,1.282199741E-1,1.141720604E0,-7.553667068E-1,1.374970967E0
1.474042833E0,1.872052603E-1,1.313099133E0,-8.916536093E-1,1.598224421E0
1.483980833E0,2.891769006E-1,1.447851287E0,-9.441329545E-1,1.752507822E0
1.493918833E0,4.571705492E-1,1.489165813E0,-9.003373092E-1,1.799229557E0
1.503855833E0,7.079234223E-1,1.353399459E0,-7.137842327E-1,1.685922180E0
1.513793833E0,8.119443655E-1,1.160457276E0,-3.798240191E-1,1.466349558E0
1.523731833E0,8.712639298E-1,1.045094927E0,-1.209379613E-1,1.365997889E0
1.533668833E0,9.530375330E-1,9.836681722E-1,6.563733459E-2,1.371200887E0
1.543606833E0,1.070256884E0,8.195350747E-1,2.276911622E-1,1.367088440E0
1.553544833E0,1.205065976E0,5.340099795E-1,5.305453581E-1,1.420855039E0
1.563482833E0,1.353824843E0,1.547801837E-1,9.139736009E-1,1.640776144E0
1.573419833E0,1.601128736E0,-1.442332685E-1,1.435025420E0,2.154927939E0
1.583357833E0,1.807425521E0,-2.055585739E-1,1.901272455E0,2.631326337E0
1.593295833E0,1.789456589E0,-1.366251639E-1,2.154208971E0,2.803825532E0
1.603232833E0,1.683630903E0,-8.843489751E-2,2.362958663E0,2.902758583E0
1.613170833E0,1.620081901E0,-1.172252718E-1,2.132117021E0,2.680360073E0
1.623108833E0,1.704017074E0,-3.485890701E-2,1.650292418E0,2.372415309E0
1.633046833E0,1.674971030E0,1.471162382E-1,1.089874220E0,2.003745731E0
1.642983833E0,1.357108640E0,2.484680736E-1,5.912874037E-1,1.501033323E0
1.652921833E0,9.653863408E-1,1.410784033E-1,4.357596534E-1,1.068531880E0
1.662859833E0,8.620324188E-1,-2.867784458E-1,8.886510640E-1,1.270843217E0
1.672796833E0,8.781772390E-1,-9.011434941E-1,1.884937089E0,2.266328019E0
1.682734833E0,8.093574842E-1,-1.565807461E0,2.946723039E0,3.433655372E0
1.692672833E0,7.951228032E-1,-2.110241710E0,3.475877929E0,4.143316030E0
1.702610833E0,8.747613687E-1,-2.448238403E0,3.262839305E0,4.171953866E0
1.712547833E0,9.963575073E-1,-2.467914722E0,2.587930870E0,3.712238886E0
1.722485833E0,1.148277306E0,-2.218516941E0,1.783957429E0,3.069668109E0
1.732423833E0,1.351365651E0,-1.942921880E0,7.203465629E-1,2.473870192E0
1.742360833E0,1.463795036E0,-1.736335073E0,-5.329269290E-1,2.332716551E0
1.752298833E0,1.376230935E0,-1.588233287E0,-1.426267460E0,2.539829803E0
1.762236833E0,1.184473837E0,-1.509680915E0,-1.870331329E0,2.679599600E0
1.772173833E0,1.060244259E0,-1.560328620E0,-1.887356082E0,2.668493258E0
1.782111833E0,1.186144313E0,-1.692740865E0,-1.532870387E0,2.573325007E0
1.792049833E0,1.424390358E0,-1.987484680E0,-9.553987849E-1,2.625218102E0
1.801987833E0,1.709118477E0,-2.345693297E0,-3.572993749E-1,2.924213716E0
1.811924833E0,1.943484529E0,-2.600738904E0,2.899692714E-2,3.246816253E0
1.821862833E0,1.992345032E0,-2.676726979E0,-2.261293709E-2,3.336887381E0
1.831800833E0,1.894267491E0,-2.613642539E0,-3.872879899E-1,3.251056542E0
1.841737833E0,1.645732759E0,-2.408202371E0,-7.588569099E-1,3.013924151E0
1.851675833E0,1.474918633E0,-2.029219474E0,-1.275010516E0,2.814030644E0
1.861613833E0,1.380513290E0,-1.660311330E0,-1.711188245E0,2.755107233E0
1.871551833E0,1.371143565E0,-1.366858580E0,-2.067170827E0,2.832230973E0
1.881488833E0,1.487519675E0,-1.093253033E0,-2.276188906E0,2.930691542E0
1.891426833E0,1.773229542E0,-8.588939989E-1,-2.292975678E0,3.023206802E0
1.901364833E0,2.153569724E0,-7.663676584E-1,-2.151917447E0,3.139415654E0
1.911301833E0,2.508389734E0,-7.953110835E-1,-1.883417398E0,3.236016049E0
1.921239833E0,2.802214952E0,-9.221459618E-1,-1.633531959E0,3.372119285E0
1.931177833E0,2.961817042E0,-1.106992528E0,-1.342189177E0,3.435005740E0
1.941115833E0,2.939989678E0,-1.362997371E0,-9.834063631E-1,3.386501028E0
1.951052833E0,2.749426289E0,-1.602206671E0,-5.983894318E-1,3.237974837E0
1.960990833E0,2.493087570E0,-1.773606395E0,-1.305882061E-1,3.062387722E0
1.970928833E0,2.265510429E0,-2.009590956E0,3.537770122E-1,3.048959083E0
1.980865833E0,2.061784811E0,-2.208262241E0,5.858377987E-1,3.077431503E0
1.990803833E0,1.819191142E0,-2.541660683E0,1.044581687E0,3.295549475E0
2.000741833E0,1.776302985E0,-2.934269055E0,1.859317514E0,3.901570042E0
2.010678833E0,1.777309583E0,-2.974781488E0,1.755834661E0,3.884727740E0
2.020616833E0,1.767152239E0,-3.004154976E0,1.739557182E0,3.895360489E0
2.030554833E0,1.879840656E0,-3.025999297E0,1.801042408E0,3.991769832E0
2.040492833E0,2.018767430E0,-3.042738706E0,1.746573256E0,4.047739975E0
2.050429833E0,2.080847319E0,-3.181215098E0,1.752538000E0,4.185862457E0
2.060367833E0,2.145241389E0,-3.314487761E0,1.735459453E0,4.312738022E0
2.070305833E0,2.222087982E0,-3.261837092E0,1.619137868E0,4.266012617E0
2.080242833E0,2.306496487E0,-3.079971728E0,1.623778803E0,4.176458966E0
2.090180833E0,2.369704011E0,-2.874001218E0,1.591882242E0,4.050860300E0
2.100118833E0,2.420922550E0,-2.761496111E0,1.473566172E0,3.957034752E0
2.110055833E0,2.214831003E0,-2.638506654E0,1.295580436E0,3.680451386E0
2.119993833E0,1.804870288E0,-2.463303608E0,1.299584609E0,3.318786160E0
2.129931833E0,1.328216524E0,-2.311322194E0,1.504151788E0,3.060856419E0
2.139869833E0,8.700331639E-1,-2.270303099E0,1.921237773E0,3.098772087E0
2.149806833E0,6.497701583E-1,-2.411205940E0,2.437403074E0,3.489562879E0
2.159744833E0,7.190201951E-1,-2.643600456E0,2.886292065E0,3.979484301E0
2.169682833E0,1.078905940E0,-2.849372161E0,3.184749155E0,4.407446757E0
2.179619833E0,1.519874366E0,-3.093215964E0,3.216516493E0,4.714231797E0
2.189557833E0,1.908585422E0,-3.306637874E0,2.913992665E0,4.802905953E0
2.199495833E0,2.251370692E0,-3.492488700E0,2.434846087E0,4.816079606E0
2.209433833E0,2.497042335E0,-3.572143857E0,1.854405268E0,4.736480872E0
2.219370833E0,2.596097384E0,-3.487159547E0,1.261212841E0,4.526661150E0
2.229308833E0,2.647812206E0,-3.357264529E0,7.327502614E-1,4.338093768E0
2.239246833E0,2.626140085E0,-3.181925242E0,2.416917354E-1,4.132756331E0
2.249183833E0,2.637176413E0,-3.001764342E0,-1.109725517E-1,3.997199457E0
2.259121833E0,2.632124711E0,-2.758603494E0,-3.977398878E-1,3.833558496E0
2.269059833E0,2.614666679E0,-2.565020017E0,-5.863283801E-1,3.709392201E0
2.278997833E0,2.615959791E0,-2.405237979E0,-8.058135599E-1,3.643864824E0
2.288934833E0,2.670716334E0,-2.220868107E0,-9.462291813E-1,3.600045909E0
2.298872833E0,2.740851347E0,-2.055168540E0,-9.181964600E-1,3.546698264E0
2.308810833E0,2.796992803E0,-1.941160699E0,-7.635656726E-1,3.489169835E0
2.318747833E0,2.777676819E0,-1.901682784E0,-5.540874177E-1,3.411583032E0
2.328685833E0,2.685728768E0,-1.935777167E0,-4.120649815E-1,3.336190913E0
2.338623833E0,2.516045201E0,-1.942352508E0,-3.562661719E-1,3.198459364E0
2.348560875E0,2.369047661E0,-1.906847191E0,-3.495430434E-1,3.061149028E0
2.358498875E0,2.289886009E0,-1.848791502E0,-3.605790782E-1,2.965067491E0
2.368436875E0,2.226873490E0,-1.800445846E0,-3.469556504E-1,2.884605520E0
2.378374875E0,2.168783887E0,-1.798906128E0,-2.571564513E-1,2.829455115E0
2.388311875E0,2.088138943E0,-1.814419961E0,-9.163580954E-2,2.767822458E0
2.398249875E0,1.994811388E0,-1.840192879E0,1.165636593E-1,2.716462662E0
2.408187875E0,1.858025279E0,-1.868634613E0,3.036400616E-1,2.652593173E0
2.418124875E0,1.691183459E0,-1.952847236E0,5.097778022E-1,2.633170566E0
2.428062875E0,1.510762650E0,-1.969562818E0,5.723529500E-1,2.547384811E0
2.438000875E0,1.360971603E0,-1.891694716E0,5.834486264E-1,2.402324895E0
2.447937875E0,1.195811734E0,-1.747444052E0,6.112147146E-1,2.203885171E0
2.457875875E0,1.048031545E0,-1.549204584E0,5.750999719E-1,1.956820109E0
2.467813875E0,8.711572181E-1,-1.364720253E0,4.602489620E-1,1.683212813E0
2.477751875E0,7.162883028E-1,-1.199379998E0,2.738753951E-1,1.423583170E0
2.487688875E0,5.819077389E-1,-9.925375213E-1,9.086690068E-2,1.154124838E0
2.497626875E0,5.183224116E-1,-7.542842411E-1,-2.852622628E-2,9.156509074E-1
2.507564875E0,4.453153194E-1,-5.588280478E-1,-1.046376783E-1,7.221797314E-1
2.517501875E0,4.019981226E-1,-3.689112143E-1,-8.440104961E-2,5.521064316E-1
2.527439875E0,3.958569382E-1,-2.013931637E-1,-2.409812987E-2,4.447950559E-1
2.537377875E0,3.528361952E-1,-1.555388600E-2,9.552011490E-2,3.658680040E-1
2.547314875E0,3.217632142E-1,1.655291203E-1,6.405332386E-2,3.674701130E-1
2.557252875E0,2.917121437E-1,3.110177860E-1,-1.005873120E-1,4.381162463E-1
2.567190875E0,3.042740094E-1,3.960567668E-1,-3.124190712E-1,5.891089130E-1
2.577128875E0,3.757611544E-1,5.035937870E-1,-4.255609399E-1,7.588842211E-1
2.587065875E0,5.207123148E-1,5.539516161E-1,-3.664075828E-1,8.439539232E-1
2.597003875E0,6.077894888E-1,4.218932739E-1,-2.594462210E-1,7.840372050E-1
2.606941875E0,6.111704220E-1,3.297702451E-1,-1.458418375E-1,7.096108376E-1
2.616878875E0,6.010405594E-1,3.486450572E-1,-1.142838299E-2,6.949343407E-1
2.626816875E0,6.190638708E-1,3.785643826E-1,9.924011350E-2,7.323931103E-1
2.636754875E0,5.681536259E-1,3.441801234E-1,1.304589826E-1,6.769623668E-1
2.646692875E0,5.218354918E-1,2.931198974E-1,1.645178443E-1,6.207235100E-1
2.656629875E0,4.629037441E-1,3.145249459E-1,1.692073113E-1,5.846682240E-1
2.666567875E0,4.613305508E-1,3.873090398E-1,1.307589447E-1,6.163863002E-1
2.676505875E0,4.284879099E-1,4.485768963E-1,6.711901903E-2,6.239616042E-1
2.686442875E0,3.375494174E-1,5.028299944E-1,2.037637711E-2,6.059643630E-1
2.696380875E0,3.286534269E-1,6.285246657E-1,1.514955103E-2,7.094264157E-1
2.706318875E0,4.283790420E-1,9.009863502E-1,-2.093829453E-2,9.978594185E-1
2.716255875E0,5.817859341E-1,1.219668959E0,-8.852976859E-2,1.354217398E0
2.726193875E0,6.675181389E-1,1.360195677E0,-2.206774271E-1,1.531147045E0
2.736131875E0,7.255193753E-1,1.206146103E0,-4.297118783E-1,1.471672207E0
2.746069875E0,7.541712436E-1,8.777660336E-1,-4.520365477E-1,1.242410767E0
2.756006875E0,7.089317746E-1,4.426124440E-1,-9.250938356E-2,8.408614765E-1
2.765944875E0,5.264517955E-1,5.633207560E-3,4.289084709E-1,6.790770960E-1
2.775882875E0,3.717049043E-1,-3.279561464E-1,9.230046254E-1,1.047691419E0
2.785819875E0,2.770842374E-1,-4.709268549E-1,1.227714728E0,1.343812200E0
2.795757875E0,1.421628699E-1,-4.092377065E-1,1.226261694E0,1.300539705E0
2.805695875E0,3.064939597E-2,-3.188928160E-1,8.218448710E-1,8.820776642E-1
2.815632875E0,-8.245085701E-2,-1.909840965E-1,8.372043371E-2,2.242368836E-1
2.825570875E0,-1.458838461E-1,-8.200281411E-2,-5.525800055E-1,5.773657598E-1
2.835508875E0,-1.958750914E-1,6.064147353E-2,-8.312413466E-1,8.561580555E-1
2.845446875E0,-2.187043938E-1,1.975497888E-1,-8.112304205E-1,8.631062078E-1
2.855383875E0,-2.754801269E-1,2.392085691E-1,-6.355783081E-1,7.328504797E-1
